p31,label_en,label_kk,label_ru,total_entities,covered_entities,missing_entities,coverage_pct,missing_pct
Q23442,island,Арал,остров,81,23,58,28.4,71.6
Q23492,official language,ресми тіл,официальный язык,1,1,0,100.0,0.0
Q23691,national anthem,Ұлттық әнұран,государственный гимн,2,2,0,100.0,0.0
Q23726798,elite national cycling team,elite national cycling team,национальная сборная по велоспорту Элита,2,0,2,0.0,100.0
Q23790,natural monument,Табиғат ескерткіші,памятник природы,40,6,34,15.0,85.0
Q2383962,vicariate (Eastern Orthodoxy),vicariate (Eastern Orthodoxy),викариатство,2,0,2,0.0,100.0
Q2385804,educational institution,білім мекемесі,образовательное учреждение,43,18,25,41.86,58.14
Q23891529,,,,1,0,1,0.0,100.0
Q23901137,national under-19 association football team,national under-19 association football team,national under-19 association football team,1,0,1,0.0,100.0
Q2390458,telephone numbering plan,Телефонды нөмірлеу жоспары,план нумерации,1,0,1,0.0,100.0
Q23905105,women's national association football team,women's national association football team,женская сборная страны по футболу,2,1,1,50.0,50.0
Q239582,symphony orchestra,Симфониялық оркестр,симфонический оркестр,2,1,1,50.0,50.0
Q23983664,demographics of country or region,demographics of country or region,демография по странам и регионам,2,1,1,50.0,50.0
Q2399523,technology ministry,technology ministry,министерство технологии,1,1,0,100.0,0.0
Q2401749,telecommunication company,telecommunication company,телекоммуникационная компания,1,1,0,100.0,0.0
Q2403977,prison labour camp,prison labour camp,исправительно-трудовой лагерь,8,2,6,25.0,75.0
Q2406205,shootout,shootout,перестрелка,1,0,1,0.0,100.0
Q24069004,Presidential elections in Kazakhstan,Presidential elections in Kazakhstan,выборы президента Казахстана,9,4,5,44.44,55.56
Q2412834,reserve team,reserve team,дублирующий состав,1,1,0,100.0,0.0
Q2416110,,,,1,1,0,100.0,0.0
Q2416217,,,,4,4,0,100.0,0.0
Q24255438,Hydrological natural heritage site,Hydrological natural heritage site,гидрологический памятник природы,1,1,0,100.0,0.0
Q24258416,railway station settlement,railway station settlement,железнодорожная станция как населённый пункт,1,0,1,0.0,100.0
Q24354,theatre building,theatre building,здание театра,38,28,10,73.68,26.32
Q24398318,religious building,religious building,религиозное здание,1,0,1,0.0,100.0
Q2446662,tourism ministry,tourism ministry,министерство туризма,1,1,0,100.0,0.0
Q245065,intergovernmental organization,Үкіметаралық халықаралық үйымдар,международная межправительственная организация,1,1,0,100.0,0.0
Q24529780,point,point,ландшпитц,26,5,21,19.23,80.77
Q24575110,start time,start time,дата начала,1,0,1,0.0,100.0
Q2460422,guest house,Pension,гостевой дом,1,0,1,0.0,100.0
Q2466826,UCI Women's Team,UCI Women's Team,UCI Women's Team,1,0,1,0.0,100.0
Q2467461,academic department,academic department,кафедра,1,1,0,100.0,0.0
Q24699794,,,,1,1,0,100.0,0.0
Q2470540,chamber orchestra,chamber orchestra,камерный оркестр,2,1,1,50.0,50.0
Q2472587,people,халық,народ,3,3,0,100.0,0.0
Q2484195,,,,3,3,0,100.0,0.0
Q2485448,sports governing body,sports governing body,спортивная федерация,15,4,11,26.67,73.33
Q24871403,bus accident,bus accident,автобусный инцидент,1,0,1,0.0,100.0
Q24906026,,,,1,1,0,100.0,0.0
Q249556,railway company,railway company,железнодорожная компания,3,1,2,33.33,66.67
Q2495862,congress,съезд,съезд,2,1,1,50.0,50.0
Q2514025,posyolok,posyolok,посёлок,19,16,3,84.21,15.79
Q2515494,constitutional referendum,constitutional referendum,конституционный референдум,3,2,1,66.67,33.33
Q2516426,transport ministry,transport ministry,министерство транспорта,2,2,0,100.0,0.0
Q251777,custom,Әдет-ғұрыптар,обычай,1,0,1,0.0,100.0
Q2519340,administrative building,administrative building,административное здание,2,1,1,50.0,50.0
Q25295,language family,тілдердің топтары,языковая семья,1,1,0,100.0,0.0
Q25297630,international bridge,international bridge,трансграничный мост,2,0,2,0.0,100.0
Q25380035,ethnic community,Этникалық Қауымдастық,этническая общность,3,1,2,33.33,66.67
Q25391,dune,дюналар,дюна,1,1,0,100.0,0.0
Q2551525,water reservoir,water reservoir,водный резервуар,1,0,1,0.0,100.0
Q25550691,,,,1,1,0,100.0,0.0
Q25550763,visual arts of an area,visual arts of an area,изобразительное искусство территории,1,0,1,0.0,100.0
Q25619,Daryal radar,Daryal radar,Дарьял,1,0,1,0.0,100.0
Q25621246,painting of an area,painting of an area,живопись на территории,1,0,1,0.0,100.0
Q256324,industrial railway,industrial railway,Предприятие промышленного железнодорожного транспорта,1,0,1,0.0,100.0
Q25676476,Persian language in an area,Persian language in an area,персидский язык на территории,1,0,1,0.0,100.0
Q25679497,art of an area,art of an area,искусство территории,1,0,1,0.0,100.0
Q2570643,senate,Сенат,сенат,1,1,0,100.0,0.0
Q2593777,grave field,Қорым,могильник,10,10,0,100.0,0.0
Q261604,oil-fired power station,oil-fired power station,электростанция на нефтепродуктах,1,0,1,0.0,100.0
Q2618174,,,,1,1,0,100.0,0.0
Q2618461,legislative election,legislative election,выборы в законодательный орган,11,1,10,9.09,90.91
Q2620826,declaration,Мағлұмдама,декларация,1,0,1,0.0,100.0
Q26213387,Olympic delegation,Olympic delegation,страна на Олимпийских играх,17,15,2,88.24,11.76
Q2624046,,,,1,1,0,100.0,0.0
Q2628882,legal status,legal status,правовой статус,1,0,1,0.0,100.0
Q2643128,district of Kazakhstan,Қазақстан аудандары,район Казахстана,177,177,0,100.0,0.0
Q265662,,,,2,2,0,100.0,0.0
Q2659904,government organization,government organization,государственная организация,2,2,0,100.0,0.0
Q2668072,collection,collection,коллекция,1,0,1,0.0,100.0
Q2674774,student association,student association,student association,1,1,0,100.0,0.0
Q268592,,,,1,1,0,100.0,0.0
Q26884324,Wikimedia outline article,Wikimedia outline article,обзорная статья Викимедиа,2,0,2,0.0,100.0
Q26887310,association football team season,association football team season,сезон футбольной команды,118,0,118,0.0,100.0
Q26887428,nation at competition,nation at competition,страна на соревновании,3,0,3,0.0,100.0
Q2693624,jubilee medal,jubilee medal,юбилейная медаль,17,16,1,94.12,5.88
Q26958726,geological museum,geological museum,геологический музей,1,0,1,0.0,100.0
Q269949,highway,автомобиль жолы,автомобильная дорога,2,1,1,50.0,50.0
Q27002,selsoviet,selsoviet,сельсовет в СССР,2,0,2,0.0,100.0
Q27020041,sports season,sports season,розыгрыш спортивного турнира,268,115,153,42.91,57.09
Q27020779,ice hockey team season,ice hockey team season,хоккейный сезон,2,0,2,0.0,100.0
Q27028153,tram depot,tram depot,трамвайное депо,2,0,2,0.0,100.0
Q27031827,open data portal,open data portal,портал открытых данных,1,0,1,0.0,100.0
Q27032363,photo archive,photo archive,фотоархив,1,1,0,100.0,0.0
Q27042502,Kazakhstan National Road Cycling Championships - Men RR,Kazakhstan National Road Cycling Championships - Men RR,Чемпионат Казахстана по шоссейному велоспорту - групповая гонка (мужчины),11,0,11,0.0,100.0
Q27042506,Kazakhstan National Road Cycling Championships - Men ITT,Kazakhstan National Road Cycling Championships - Men ITT,Чемпионат Казахстана по шоссейному велоспорту - индивидуальная гонка (мужчины),10,0,10,0.0,100.0
Q27042507,Kazakhstan National Road Cycling Championships - Men U23 RR,Kazakhstan National Road Cycling Championships - Men U23 RR,Чемпионат Казахстана по шоссейному велоспорту - групповая гонка (мужчины U23),1,0,1,0.0,100.0
Q27042512,Kazakhstan National Road Cycling Championships - Men U23 ITT,Kazakhstan National Road Cycling Championships - Men U23 ITT,Чемпионат Казахстана по шоссейному велоспорту - индивидуальная гонка (мужчины U23),1,0,1,0.0,100.0
Q27062006,,,,2,2,0,100.0,0.0
Q27067659,former river,former river,бывшая река,2,1,1,50.0,50.0
Q270791,state-owned enterprise,Мемлекеттік Кәсіпорын,государственное предприятие,3,2,1,66.67,33.33
Q272231,arboretum,екпетоғай,дендрарий,4,1,3,25.0,75.0
Q273120,protest,Қарсылық қозғалысы,протест,2,2,0,100.0,0.0
Q27345018,international tripoint,international tripoint,международный пограничный стык,4,0,4,0.0,100.0
Q2739132,World Allround Speed Skating Championships for Men,World Allround Speed Skating Championships for Men,Чемпионат мира по конькобежному спорту в классическом многоборье — мужчины,1,0,1,0.0,100.0
Q274153,water tower,Су айдауыш мұнара,водонапорная башня,2,1,1,50.0,50.0
Q274393,bakery,bakery,пекарня,1,0,1,0.0,100.0
Q2748296,varieties of Chinese,varieties of Chinese,разновидности китайского,1,1,0,100.0,0.0
Q27517483,,,,2,2,0,100.0,0.0
Q27566398,Russian language in an area,Russian language in an area,русский язык на территории,1,0,1,0.0,100.0
Q27686,hotel,Қонақ Үй,гостиница,152,3,149,1.97,98.03
Q2772772,military museum,military museum,военный музей,1,0,1,0.0,100.0
Q27968055,recurring event edition,recurring event edition,версия для повторяющегося события,2,1,1,50.0,50.0
Q28043022,proposed rail infrastructure,proposed rail infrastructure,перспективная железнодорожная инфраструктура,2,1,1,50.0,50.0
Q28108,political system,саяси жүйе,политическая система,1,1,0,100.0,0.0
Q28140340,women's association football team,women's association football team,женская футбольная команда,2,1,1,50.0,50.0
Q28640,profession,мамандық,профессия,1,0,1,0.0,100.0
Q28653,mendicant order,mendicant order,нищенствующий орден,1,0,1,0.0,100.0
Q286576,register,register,языковой регистр,1,1,0,100.0,0.0
Q28747937,history of a city,history of a city,история города,1,1,0,100.0,0.0
Q28777651,group of protected areas,group of protected areas,группа природоохранных зон,2,1,1,50.0,50.0
Q2887554,coal basin,Көмір кені,угольный бассейн,4,4,0,100.0,0.0
Q2888028,First Order of Saint Francis,First Order of Saint Francis,First Order of Saint Francis,1,0,1,0.0,100.0
Q29110152,Wikidata property related to tourism,Wikidata property related to tourism,"свойство Викиданных, относящееся к туризму",1,0,1,0.0,100.0
Q2912397,single-day road race,single-day road race,однодневная велогонка,3,0,3,0.0,100.0
Q291240,car rental company,car rental company,прокат автомобилей,1,0,1,0.0,100.0
Q29224491,futsal league,futsal league,мини-футбольная лига,1,1,0,100.0,0.0
Q2923911,,,,1,1,0,100.0,0.0
Q29292775,national badminton team,national badminton team,сборная по бадминтону,1,0,1,0.0,100.0
Q2935978,irrigation canal,irrigation canal,ирригационный канал,2,2,0,100.0,0.0
Q294414,public office,мемлекеттік лауазым,государственная должность,39,2,37,5.13,94.87
Q294422,public building,public building,общественное здание,1,0,1,0.0,100.0
Q2944640,gas-fired power station,gas-fired power station,газовая электростанция,2,0,2,0.0,100.0
Q2949123,Asian Championship,Азия чемпионаты,Чемпионат Азии,2,0,2,0.0,100.0
Q295469,ecoregion,ecoregion,экологический регион,2,0,2,0.0,100.0
Q29553,sanctuary,sanctuary,санктуарий,1,0,1,0.0,100.0
Q29592127,badminton association,badminton association,badminton association,1,0,1,0.0,100.0
Q29643579,multi-level marketing company,multi-level marketing company,многоуровневая маркетинговая компания,1,0,1,0.0,100.0
Q2966838,chronolect,chronolect,хронолект,1,0,1,0.0,100.0
Q2974842,,,,1,1,0,100.0,0.0
Q2977,cathedral,cathedral,кафедральный собор,5,1,4,20.0,80.0
Q29791211,sport in a geographic region,sport in a geographic region,спорт в географическом регионе,7,0,7,0.0,100.0
Q2983893,quarter,quarter,квартал,20,19,1,95.0,5.0
Q2989457,,,,9,9,0,100.0,0.0
Q2990216,mining company,mining company,горное предприятие,2,1,1,50.0,50.0
Q2990946,golf tournament,golf tournament,турнир по гольфу,1,0,1,0.0,100.0
Q2990963,figure skating competition,figure skating competition,соревнование по фигурному катанию,5,2,3,40.0,60.0
Q29925,salt marsh,salt marsh,солёные марши,16,2,14,12.5,87.5
Q2997316,sopka,Шоқы,сопка,1,0,1,0.0,100.0
Q30014735,bus-based transport system,bus-based transport system,автобусная система,4,0,4,0.0,100.0
Q3002150,,,,1,1,0,100.0,0.0
Q3002772,political crisis,political crisis,политический кризис,1,0,1,0.0,100.0
Q30178840,SCO summit,SCO summit,Саммит ШОС,3,1,2,33.33,66.67
Q30198,marsh,батпақ,болото,40,1,39,2.5,97.5
Q30225604,Wikidata property related to a National Olympic or Paralympic Committee,Wikidata property related to a National Olympic or Paralympic Committee,"свойство Викиданных, относящееся к Национальному олимпийскому или паралимпийскому комитету",1,0,1,0.0,100.0
Q3024240,historical country,тарихи мемлекет,историческое государство,1,1,0,100.0,0.0
Q303874,ab anbar,Сардоба,сардоба,1,0,1,0.0,100.0
Q30612,clinical trial,clinical trial,клинические исследования,107,0,107,0.0,100.0
Q3062125,agricultural holding,agricultural holding,сельскохозяйственный бизнес,1,0,1,0.0,100.0
Q30634609,,,,1,1,0,100.0,0.0
Q3146899,diocese of the Catholic Church,diocese of the Catholic Church,католическая епархия,2,0,2,0.0,100.0
Q31510394,Kazakhstan National Road Cycling Championships - Women RR,Kazakhstan National Road Cycling Championships - Women RR,Чемпионат Казахстана по шоссейному велоспорту - групповая гонка (женщины),21,0,21,0.0,100.0
Q3152824,cultural institution,cultural institution,учреждение культуры,1,0,1,0.0,100.0
Q31529645,Kazakhstan National Road Cycling Championships - Women ITT,Kazakhstan National Road Cycling Championships - Women ITT,Чемпионат Казахстана по шоссейному велоспорту - индивидуальная гонка (женщины),21,0,21,0.0,100.0
Q31615,,,,1,0,1,0.0,100.0
Q31629,type of sport,type of sport,вид спорта,1,1,0,100.0,0.0
Q3176665,nationality law,nationality law,закон о гражданстве,1,1,0,100.0,0.0
Q31855,research institute,ғылыми-зерттеу институты,научно-исследовательский институт,25,16,9,64.0,36.0
Q3193890,environmental disaster,Экологиялық Апат аймақтары,экологическая катастрофа,1,0,1,0.0,100.0
Q3199915,massacre,massacre,бойня,1,1,0,100.0,0.0
Q32099,meridian,меридиан,меридиан,10,0,10,0.0,100.0
Q3215290,,,,1,1,0,100.0,0.0
Q3238445,security agency,security agency,служба безопасности,1,1,0,100.0,0.0
Q3240715,crater,crater,кратер,3,1,2,33.33,66.67
Q3241045,disease outbreak,disease outbreak,вспышка эпидемии,5,2,3,40.0,60.0
Q3253281,pond,pond,пруд,2,2,0,100.0,0.0
Q3257686,locality,locality,обжитая местность,4,2,2,50.0,50.0
Q3270632,national championship,national championship,национальный чемпионат,4,0,4,0.0,100.0
Q327333,government agency,government agency,орган публичной власти,22,11,11,50.0,50.0
Q3273417,lists of sportspeople,lists of sportspeople,список спортсменов,3,0,3,0.0,100.0
Q32766,constitutional court,Конституциялық Сот,конституционный суд,1,1,0,100.0,0.0
Q32815,mosque,мешіт,мечеть,53,39,14,73.58,26.42
Q32880,,,,2,0,2,0.0,100.0
Q32966,,,,1,1,0,100.0,0.0
Q3302125,state decoration,state decoration,государственная награда,1,1,0,100.0,0.0
Q33060692,Kazakhstan International Badminton Championships,Kazakhstan International Badminton Championships,Kazakhstan International Badminton Championships,7,0,7,0.0,100.0
Q3320743,title of honor,құрметті атақ,почётное звание,11,8,3,72.73,27.27
Q3329412,archaeological museum,archaeological museum,археологический музей,4,4,0,100.0,0.0
Q33384,dialect,диалект,диалект,3,0,3,0.0,100.0
Q334383,abbey church,abbey church,монастырский храм,1,0,1,0.0,100.0
Q33506,museum,мұражай,музей,57,37,20,64.91,35.09
Q3352470,,,,1,1,0,100.0,0.0
Q336532,vacation rental,vacation rental,vacation rental,1,0,1,0.0,100.0
Q337060,perceptible physical object,perceptible physical object,предмет,1,1,0,100.0,0.0
Q33742,natural language,natural language,естественный язык,11,10,1,90.91,9.09
Q33829,human population,human population,население,2,1,1,50.0,50.0
Q338313,business park,business park,бизнес-парк,1,1,0,100.0,0.0
Q33837,archipelago,Топарал,архипелаг,1,0,1,0.0,100.0
Q34023,tumulus,tumulus,тумулус,1,0,1,0.0,100.0
Q34038,waterfall,Сарқырама,водопад,7,2,5,28.57,71.43
Q34262807,national association football super cup,national association football super cup,суперкубок страны по футболу,2,2,0,100.0,0.0
Q34379419,sand area,sand area,песчаный массив,189,83,106,43.92,56.08
Q34439356,hurricane,hurricane,ураган,1,0,1,0.0,100.0
Q34442,road,автомобиль жолы,дорога,139,14,125,10.07,89.93
Q34548322,national association football competition,national association football competition,национальный футбольный турнир,1,1,0,100.0,0.0
Q34627,synagogue,Синагога,синагога,1,0,1,0.0,100.0
Q34763,peninsula,түбек,полуостров,15,12,3,80.0,20.0
Q34770,language,тіл,язык,4,2,2,50.0,50.0
Q3480697,sill,sill,sill,1,0,1,0.0,100.0
Q349,sport,спорт,спорт,1,0,1,0.0,100.0
Q3497768,dry lake,dry lake,бессточная западина,2,2,0,100.0,0.0
Q3498533,natural gas-fired power station,natural gas-fired power station,natural gas-fired power station,1,0,1,0.0,100.0
Q3502482,cultural region,cultural region,культурный регион,3,3,0,100.0,0.0
Q350604,armed conflict,қарулы қақтығыс,вооружённый конфликт,1,0,1,0.0,100.0
Q350895,,,,2,2,0,100.0,0.0
Q350929,vehicle fire,vehicle fire,возгорание транспортного средства,1,0,1,0.0,100.0
Q35112127,historic building,historic building,историческое здание,16,3,13,18.75,81.25
Q35127,website,Сайт,сайт,15,2,13,13.33,86.67
Q351764,e-commerce payment system,e-commerce payment system,электронная платёжная система,1,0,1,0.0,100.0
Q35509,cave,үңгір,пещера,12,11,1,91.67,8.33
Q355304,watercourse,Су ағыны,водоток,4,3,1,75.0,25.0
Q35535,police,Полиция,полиция,1,0,1,0.0,100.0
Q3558349,presidency,presidency,президентство,1,0,1,0.0,100.0
Q3565868,rail transport,темір жол көлігі,железнодорожный транспорт,2,0,2,0.0,100.0
Q35666,glacier,мұздық,ледник,52,37,15,71.15,28.85
Q3575260,bijou,bijou,бижутерия,1,1,0,100.0,0.0
Q35798,executive branch,атқарушы билік,исполнительная власть,3,1,2,33.33,66.67
Q358,heritage site,heritage site,национальный объект культурного наследия,2,2,0,100.0,0.0
Q358078,road network,road network,дорожная сеть,5,0,5,0.0,100.0
Q35823051,nation at the World Athletics Championships,nation at the World Athletics Championships,страны на чемпионате мира по лёгкой атлетике,10,0,10,0.0,100.0
Q3612735,Almaty Cup,Almaty Cup,Almaty Cup,3,0,3,0.0,100.0
Q3622002,,,,1,1,0,100.0,0.0
Q3624078,sovereign state,тәуелсіз мемлекет,суверенное государство,1,1,0,100.0,0.0
Q362482,,,,1,1,0,100.0,0.0
Q3664326,Pirate Party,Pirate Party,пиратская партия,1,0,1,0.0,100.0
Q368290,film distributor,film distributor,кинодистрибьютор,2,0,2,0.0,100.0
Q3695082,sign,Сигнификат,знак,1,1,0,100.0,0.0
Q369730,,,,1,1,0,100.0,0.0
Q3699460,defile,defile,defile,2,1,1,50.0,50.0
Q37002670,unicameral legislature,unicameral legislature,однопалатный парламент,2,2,0,100.0,0.0
Q372690,consulate general,consulate general,генеральное консульство,9,0,9,0.0,100.0
Q373609,water pipeline,Су жүргізгіш,водопровод,4,4,0,100.0,0.0
Q37402,,,,1,0,1,0.0,100.0
Q3742928,folk culture,folk culture,народная культура,1,1,0,100.0,0.0
Q375336,,,,2,2,0,100.0,0.0
Q375928,lower house,lower house,нижняя палата парламента,1,1,0,100.0,0.0
Q376799,,,,1,1,0,100.0,0.0
Q376935,deposit insurance,deposit insurance,система страхования вкладов,1,1,0,100.0,0.0
Q37726,army,армия,сухопутные войска,1,1,0,100.0,0.0
Q37736399,traditional craft,traditional craft,traditional craft,1,1,0,100.0,0.0
Q37901,strait,бұғаз,пролив,4,1,3,25.0,75.0
Q3839081,disaster,апат,катастрофа,3,0,3,0.0,100.0
Q386636,ultras,ультрас,ультрас,1,0,1,0.0,100.0
Q38723,,,,8,5,3,62.5,37.5
Q3874020,national youth sports team,national youth sports team,молодёжная сборная,2,0,2,0.0,100.0
Q3885324,Order of Glory,Даңқ ордені,орден Данк,2,0,2,0.0,100.0
Q388602,electoral alliance,electoral alliance,избирательный альянс,2,0,2,0.0,100.0
Q3887,solar eclipse,solar eclipse,солнечное затмение,6,0,6,0.0,100.0
Q3889692,,,,1,1,0,100.0,0.0
Q3910963,President's Cup,President's Cup,Кубок президента Казахстана по теннису,11,0,11,0.0,100.0
Q3914,school,мектеп,школа,10,0,10,0.0,100.0
Q391414,architectural element,architectural element,строительный блок,1,1,0,100.0,0.0
Q3917681,embassy,елшілік,посольство,46,1,45,2.17,97.83
Q3918,university,университет,университет,78,55,23,70.51,29.49
Q3947,house,үй,дом,1,0,1,0.0,100.0
Q3957,town,қалашық,городок,5,4,1,80.0,20.0
Q39594,bay,шығанақ,залив,29,19,10,65.52,34.48
Q39614,cemetery,зират,кладбище,11,10,1,90.91,9.09
Q39715,lighthouse,Шамшырақ,маяк,2,2,0,100.0,0.0
Q39816,valley,аңғар,долина,25,10,15,40.0,60.0
Q3982337,puppetry company,puppetry company,театр кукол,5,1,4,20.0,80.0
Q39825,census,Халық санағы,перепись населения,3,3,0,100.0,0.0
Q39835986,sports website,sports website,спортивный сайт,1,0,1,0.0,100.0
Q399495,standard language,әдеби тіл,стандартный язык,1,1,0,100.0,0.0
Q4,death,өлім,смерть,1,1,0,100.0,0.0
Q40050,drink,сусындар,напиток,1,1,0,100.0,0.0
Q4022,river,өзен,река,2272,716,1556,31.51,68.49
Q40231,public election,сайлау,выборы,21,1,20,4.76,95.24
Q40244,marathon,Марафон,марафон,2,1,1,50.0,50.0
Q40357,prison,Абақты,тюрьма,1,0,1,0.0,100.0
Q40444998,academic workshop,academic workshop,научный семинар,4,0,4,0.0,100.0
Q405155,trade route,trade route,торговый путь,1,0,1,0.0,100.0
Q4087929,deanery,deanery,благочиние,2,0,2,0.0,100.0
Q4114178,,,водохозяйственный участок,3,3,0,100.0,0.0
Q41176,building,building,здание,62,16,46,25.81,74.19
Q4121104,sports title,sports title,спортивное звание,1,1,0,100.0,0.0
Q41253,movie theater,Кинотеатр,кинотеатр,29,2,27,6.9,93.1
Q41298,magazine,журнал,журнал,7,5,2,71.43,28.57
Q4138169,hydraulic complex,hydraulic complex,гидроузел,1,1,0,100.0,0.0
Q414147,academy of sciences,academy of sciences,академия наук,3,2,1,66.67,33.33
Q4144557,mining and processing plant,mining and processing plant,горно-обогатительный комбинат,4,2,2,50.0,50.0
Q4164871,position,лауазым,должность,46,9,37,19.57,80.43
Q4167836,Wikimedia category,Уикимедиа санаты,категория в проекте Викимедиа,1,0,1,0.0,100.0
Q41710,ethnic group,этникалық топ,этническая группа,31,25,6,80.65,19.35
Q4171307,Spiritual Administration of the Muslims,Мұсылмандар діни басқармасы,Духовное управление мусульман,1,1,0,100.0,0.0
Q42032,country code top-level domain,country code top-level domain,национальный домен верхнего уровня,1,1,0,100.0,0.0
Q4208088,Kazakh traditions,Қазақ халқының әдет-ғұрпы мен салт-дәстүрлері,Казахские традиции,1,1,0,100.0,0.0
Q4208097,Kazakh tribes,Қазақ рулары,Казахские рода,1,1,0,100.0,0.0
Q420962,heritage railway,heritage railway,историческая железная дорога,1,0,1,0.0,100.0
Q4216603,cascade,cascade,каскад ГЭС,1,0,1,0.0,100.0
Q42195,petroglyph,Петроглиф,петроглиф,11,8,3,72.73,27.27
Q4223017,hierarchical classifier,hierarchical classifier,иерархический классификатор,1,1,0,100.0,0.0
Q422695,awareness day,awareness day,памятная дата,1,0,1,0.0,100.0
Q422710,center of action,center of action,центр активности,1,1,0,100.0,0.0
Q423208,private school,private school,частная школа,3,1,2,33.33,66.67
Q42421242,field hockey club,field hockey club,команда по хоккею на траве,1,1,0,100.0,0.0
Q4271324,mythical character,mythical character,мифический персонаж,1,1,0,100.0,0.0
Q4283953,Mäslihat,Мәслихат,Маслихат,1,1,0,100.0,0.0
Q4286337,,,,1,1,0,100.0,0.0
Q4287745,medical organization,medical organization,медицинская организация,6,0,6,0.0,100.0
Q4291415,oil and gas field,Мұнай және газ кеніштері,месторождение нефти и газа,3,3,0,100.0,0.0
Q4296769,metropolitan district,metropolitan district,митрополичий округ,1,0,1,0.0,100.0
Q42998,orchestra,оркестр,оркестр,4,2,2,50.0,50.0
Q4306036,museum-reserve,museum-reserve,музей-заповедник,1,1,0,100.0,0.0
Q4307514,,,,1,0,1,0.0,100.0
Q43109,referendum,референдум,референдум,2,1,1,50.0,50.0
Q431289,brand,бренд,бренд,1,0,1,0.0,100.0
Q4318087,oil and gas bearing oblast,oil and gas bearing oblast,нефтегазоносная область,2,0,2,0.0,100.0
Q43229,organization,ұйым,организация,48,21,27,43.75,56.25
Q4329294,regional committee of the CPSU,КОКП облыстық комитеті,областной комитет КПСС,1,1,0,100.0,0.0
Q4330260,public foundation,Қоғамдық қор,общественный фонд,1,1,0,100.0,0.0
Q4338251,MVD special camp,MVD special camp,Особые лагеря,1,0,1,0.0,100.0
Q43483,water well,құдық,колодец,5,4,1,80.0,20.0
Q43501,,,,3,3,0,100.0,0.0
Q4351849,,,,1,1,0,100.0,0.0
Q4366834,transboundary river,Шекаралық өзендер,трансграничная река,12,9,3,75.0,25.0
Q4375507,honorary title of Kazakhstan,honorary title of Kazakhstan,почётное звание Казахстана,2,2,0,100.0,0.0
Q4380244,free skating,free skating,Произвольная программа,8,0,8,0.0,100.0
Q4380246,free dance,free dance,произвольный танец,3,0,3,0.0,100.0
Q4414032,rural district of Kazakhstan,Ауылдық округі,сельский округ,2362,2318,44,98.14,1.86
Q4421,forest,орман,лес,12,4,8,33.33,66.67
Q4421924,orogenic belt,orogenic belt,складчатый пояс,1,0,1,0.0,100.0
Q4433740,women's national basketball team,women's national basketball team,Список женских национальных сборных по баскетболу,1,0,1,0.0,100.0
Q4438121,sports organization,sports organization,спортивная организация,5,1,4,20.0,80.0
Q4443227,Stone Age site,Stone Age site,стоянка,4,3,1,75.0,25.0
Q44497,mining,шахта,горное дело,1,1,0,100.0,0.0
Q44512,epidemic,эпидемия,эпидемия,1,0,1,0.0,100.0
Q44539,,,,2,1,1,50.0,50.0
Q446013,pumping station,Сорғы станциясы,насосная станция,1,0,1,0.0,100.0
Q44613,monastery,Монастырь,монастырь,7,0,7,0.0,100.0
Q4476438,former district of Kazakhstan,Қазақстанның таратылған аудандары,упразднённые районы Казахстана,59,57,2,96.61,3.39
Q44782,,,,1,1,0,100.0,0.0
Q4493701,association football trophy or award,association football trophy or award,футбольная награда или трофей,1,1,0,100.0,0.0
Q4498974,ice hockey team,ice hockey team,хоккейная команда,25,10,15,40.0,60.0
Q4508,navy,Әскери-теңіз флоты,военно-морской флот,1,1,0,100.0,0.0
Q4530848,,,,1,1,0,100.0,0.0
Q4533081,ethnolinguistic group,ethnolinguistic group,этноязыковая общность,1,1,0,100.0,0.0
Q4539,cooperative,Кооператив,кооператив,1,0,1,0.0,100.0
Q45400320,open-access publisher,open-access publisher,издатель свободного доступа,3,2,1,66.67,33.33
Q45762,dead language,өлі тілдер,мёртвый язык,1,0,1,0.0,100.0
Q45791,,,,1,1,0,100.0,0.0
Q46124,sanatorium,Шипажай,санаторий,5,4,1,80.0,20.0
Q46135307,nation at sport competition,nation at sport competition,страна на спортивном соревновании,78,1,77,1.28,98.72
Q46169,national park,Ұлттық парк,национальный парк,14,12,2,85.71,14.29
Q46190676,tennis event,tennis event,теннисное мероприятие,2,0,2,0.0,100.0
Q46195901,Paralympics delegation,Paralympics delegation,страна на Паралимпийских играх,15,1,14,6.67,93.33
Q46351685,national basketball team,national basketball team,сборная по баскетболу,6,0,6,0.0,100.0
Q464780,mint,mint,монетный двор,2,1,1,50.0,50.0
Q465299,,,,1,1,0,100.0,0.0
Q4654165,Category:Wikipedia meetups,Category:Wikipedia meetups,Категория:Википедия:Викивстречи,11,0,11,0.0,100.0
Q46622,controlled-access highway,Автомагистраль,автомагистраль,5,1,4,20.0,80.0
Q4671277,academic institution,академиялық оқу орны,академическое учебное заведение,5,2,3,40.0,60.0
Q46831,mountain range,Таулы үстірт,горный хребет,334,99,235,29.64,70.36
Q46865913,geography of geographic location,geography of geographic location,география географического положения,1,1,0,100.0,0.0
Q46970,airline,Әуе компания,авиакомпания,57,12,45,21.05,78.95
Q46997958,climate of geographic location,climate of geographic location,климат на территории,1,1,0,100.0,0.0
Q47041,,,,1,1,0,100.0,0.0
